gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000068323	676.964187476859	0.0020925346475160786	0.00818749165310784	9.092875720265738e-7	0.027025845215773826
ENSMUSG00000022512	314.3195874652017	0.0014645146232043467	0.00819220286130114	6.049765044705108e-6	0.08990555832936262
ENSMUSG00000048108	595.388105491521	0.0016788167488703827	0.008189560641066377	1.2680597256472529e-5	0.1256309038856255
ENSMUSG00000034739	457.0505630229181	0.001667560688931447	0.008189034889686796	2.488772750292067e-5	0.18492825921045203
ENSMUSG00000028125	439.7628203333144	0.0016524898388103296	0.008188542305170677	4.6117167337372656e-5	0.274138889520278
ENSMUSG00000000001	2045.4414151936007	-1.7618634654402337e-4	0.008182969555392064	0.7272409141690833	0.9999748910759622
ENSMUSG00000000028	99.01395827575453	-3.4683806975392325e-5	0.00819549866207799	0.877796545397926	0.9999748910759622
ENSMUSG00000000031	45.48781900474083	1.7806075975226366e-4	0.008197368948650917	0.21086907750942993	0.9999748910759622
ENSMUSG00000000037	28.35297727025466	-8.408595955286989e-5	0.008197724895948787	0.4837925541654499	0.9999748910759622
ENSMUSG00000000049	11.542010300759841	1.353364728462189e-5	0.00819822551199372	0.8636974357234588	0.9999748910759622
ENSMUSG00000000056	3937.0992522694155	-3.2229400539191916e-4	0.008176893339037929	0.5878486752331823	0.9999748910759622
ENSMUSG00000000058	845.6854268173976	-1.1122672064625157e-4	0.008192287444863952	0.7293988682981382	0.9999748910759622
ENSMUSG00000000078	1568.3491442455934	-2.7316429928179e-4	0.008182057775822047	0.5990626051568859	0.9999748910759622
ENSMUSG00000000085	1573.2632693331598	4.061121353974173e-4	0.008181573093497995	0.44101304272059816	0.9999748910759622
ENSMUSG00000000088	3273.2994359005334	4.5721451362815455e-4	0.008181350726445366	0.3887659540250572	0.9999748910759622
ENSMUSG00000000093	50.93319107758429	-3.952942148473635e-5	0.008197014352163117	0.8065681349292179	0.9999748910759622
ENSMUSG00000000094	7.5307436795653855	-3.756790088010408e-5	0.008198350381056	0.5606265145567029	0.9999748910759622
ENSMUSG00000000120	177.71251020948188	1.761425184917998e-4	0.008195652470783353	0.42315773926318423	0.9999748910759622
